楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Just Be Friends,EXHAUST,12,COMPLETE,A,8824701,1,1,0,0
Scream out! (SDVX EDIT),EXHAUST,16,EXCESSIVE COMPLETE,S,9951719,2,2,0,0
tricky trick,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9813972,13,5,0,0
Paranoia,EXHAUST,16,EXCESSIVE COMPLETE,S,9926262,2,2,0,0
FIRE FIREは電気スウィングの夢を見るか？,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9833333,9,9,0,0
Borealis,EXHAUST,17,ULTIMATE CHAIN,S,9953632,12,8,1,0
無気力クーデター,EXHAUST,17,EXCESSIVE COMPLETE,S,9920249,10,7,0,0
Wuv U (Colorful QT3 nekomix),ADVANCED,10,COMPLETE,A,8938401,1,1,0,0
Wuv U (Colorful QT3 nekomix),EXHAUST,16,EXCESSIVE COMPLETE,S,9907805,8,4,0,0
Invitation from Mr.C,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9798165,23,7,0,0
2 MINUTES FIGHTERS,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9839627,20,15,0,0
LegenD.,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9701927,34,13,0,0
World's end,EXHAUST,18,EXCESSIVE COMPLETE,AA+,9656194,23,12,0,0
キモチコネクト,EXHAUST,16,EXCESSIVE COMPLETE,S,9902422,9,9,0,0
キモチコネクト,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9841946,14,13,0,0
瞬間ドリップ♪秘蜜のケーキセット,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9864766,5,5,0,0
macaron,EXHAUST,15,EXCESSIVE COMPLETE,S,9976580,2,2,0,0
CRITICAL LINE,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9793689,19,11,0,0
鬼天,EXHAUST,17,ULTIMATE CHAIN,S,9912965,8,8,1,0
Go↓Go↑Girls&Boys!,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9897891,3,3,0,0
INDEPENDENT SKY,EXHAUST,13,COMPLETE,AA,9415796,1,1,0,0
INDEPENDENT SKY,GRAVITY,17,EXCESSIVE COMPLETE,S,9934687,19,6,0,0
TIEFSEE,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9854464,7,4,0,0
ツーマンライブ,EXHAUST,16,EXCESSIVE COMPLETE,S,9933571,11,6,0,0
ツーマンライブ,GRAVITY,16,EXCESSIVE COMPLETE,S,9960079,7,7,0,0
囲い無き世は一期の月影,EXHAUST,16,EXCESSIVE COMPLETE,S,9958506,5,3,0,0
The Sampling Paradise (P*Light Remix),NOVICE,5,COMPLETE,AAA,9761538,1,1,0,0
The Sampling Paradise (P*Light Remix),ADVANCED,11,COMPLETE,A+,9238377,2,1,0,0
The Sampling Paradise (P*Light Remix),EXHAUST,17,EXCESSIVE COMPLETE,S,9904397,20,15,0,0
心臓デモクラシー,EXHAUST,13,COMPLETE,AA,9443676,1,1,0,0
脱獄,EXHAUST,13,COMPLETE,A+,9093264,1,1,0,0
Pure Evil (Kobaryo FTN-Remix),EXHAUST,17,EXCESSIVE COMPLETE,AAA,9758557,25,9,0,0
鬼KYOKAN,EXHAUST,16,EXCESSIVE COMPLETE,S,9917773,4,4,0,0
幸せになれる隠しコマンドがあるらしい,EXHAUST,16,EXCESSIVE COMPLETE,S,9915990,7,4,0,0
ツギハギスタッカート,EXHAUST,13,COMPLETE,A+,9021226,1,1,0,0
Scarlet Pinheel,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9828834,8,7,0,0
False Cross,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9765300,16,7,0,0
Prelude-Hereafter-,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9884135,3,3,0,0
恋愛方程式,EXHAUST,13,COMPLETE,AA,9416835,1,1,0,0
感情Xerography,ADVANCED,9,COMPLETE,S,9904306,1,1,0,0
感情Xerography,EXHAUST,14,ULTIMATE CHAIN,S,9960039,2,2,2,0
きらきらタイム☆,ADVANCED,11,COMPLETE,AA,9460625,1,1,0,0
きらきらタイム☆,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9879145,18,14,0,0
Twin Rocket,ADVANCED,11,ULTIMATE CHAIN,AAA+,9864185,1,1,1,0
