楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
非公開日誌,EXHAUST,12,PLAYED,A+,9034572,1,0,0,0
Foolish Hero,EXHAUST,14,ULTIMATE CHAIN,AAA+,9858490,2,2,1,0
Mother Ship (C-YA MIX),EXHAUST,15,EXCESSIVE COMPLETE,S,9928909,8,6,0,0
待チ人ハ来ズ。,EXHAUST,12,ULTIMATE CHAIN,S,9977618,1,1,1,0
Raptate,EXHAUST,12,ULTIMATE CHAIN,S,9956250,1,1,1,0
ワールド・ランプシェード,EXHAUST,12,COMPLETE,A+,9200680,1,1,0,0
仇返しシンドローム,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9875827,3,3,0,0
孤独の番人,EXHAUST,16,EXCESSIVE COMPLETE,S,9930069,12,8,0,0
孤独の番人,HEAVENLY,18,EXCESSIVE COMPLETE,AAA,9736024,4,3,0,0
ドロボウナイトトリック,EXHAUST,14,COMPLETE,A,8835774,1,1,0,0
ルービックキューブ,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9852507,3,2,0,0
Strawberry Crisis,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9898142,3,3,0,0
Wheel,EXHAUST,16,EXCESSIVE COMPLETE,S,9946308,3,3,0,0
Wheel,HEAVENLY,17,EXCESSIVE COMPLETE,AAA+,9895531,3,3,0,0
The world of sound,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9723487,14,11,0,0
The world of sound,HEAVENLY,18,EXCESSIVE COMPLETE,AAA,9700930,4,3,0,0
ずっとそばにいさせてよね！,EXHAUST,15,EXCESSIVE COMPLETE,S,9910112,5,3,0,0
Hello world!,EXHAUST,13,EXCESSIVE COMPLETE,AAA,9769503,5,3,0,0
超恋愛☆エクストリーム・ガール,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9899738,3,2,0,0
draw!!!!,EXHAUST,12,PLAYED,B,8479561,1,0,0,0
Life is Beautiful,EXHAUST,13,PLAYED,S,9909613,1,0,0,0
Earthquake Super Shock - SDVX Edit. -,EXHAUST,15,EXCESSIVE COMPLETE,S,9934782,3,3,0,0
一途な片思い、実らせたい小さな幸せ。,EXHAUST,12,PLAYED,S,9940017,1,0,0,0
過食性:アイドル症候群,EXHAUST,16,EXCESSIVE COMPLETE,S,9939839,9,6,0,0
過食性:アイドル症候群,INFINITE,17,EXCESSIVE COMPLETE,AAA+,9887323,18,8,0,0
ケッペキショウ,EXHAUST,15,EXCESSIVE COMPLETE,S,9960660,6,5,0,0
金縛りの逢を,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9811320,20,12,0,0
金縛りの逢を,HEAVENLY,18,EXCESSIVE COMPLETE,AAA,9779917,4,3,0,0
Disagree Feelings,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9823914,2,2,0,0
MANDARA,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9814241,3,3,0,0
ナツノメイロ,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9890109,2,2,0,0
泡沫、哀のまほろば,EXHAUST,13,COMPLETE,A+,9277978,1,1,0,0
究極焼肉レストラン！お燐の地獄亭！,EXHAUST,13,COMPLETE,A+,9125708,1,1,0,0
Silent Story,EXHAUST,11,COMPLETE,S,9947965,2,2,0,0
DesireDrive,EXHAUST,13,ULTIMATE CHAIN,S,9960801,2,1,1,0
ナイト・オブ・ナイツ,ADVANCED,11,COMPLETE,A,8809823,1,1,0,0
ナイト・オブ・ナイツ,EXHAUST,15,ULTIMATE CHAIN,S,9938524,5,5,1,0
-Rayrain-,EXHAUST,12,COMPLETE,A+,9172661,1,1,0,0
ケロ⑨destiny,EXHAUST,15,EXCESSIVE COMPLETE,S,9921090,3,2,0,0
ケロ⑨destiny,HEAVENLY,17,EXCESSIVE COMPLETE,AAA+,9817438,3,3,0,0
Help me， ERINNNNNN!!,EXHAUST,13,EXCESSIVE COMPLETE,AAA+,9855023,3,2,0,0
魔理沙は大変なものを盗んでいきました,EXHAUST,13,COMPLETE,AAA+,9883913,3,1,0,0
魔理沙は大変なものを盗んでいきました,GRAVITY,18,EXCESSIVE COMPLETE,AA+,9656366,10,5,0,0
物凄い勢いでけーねが物凄いうた,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9804658,2,2,0,0
Rot in hell！！,EXHAUST,13,COMPLETE,AA,9446546,1,1,0,0
croiX,ADVANCED,12,COMPLETE,A+,9074427,1,1,0,0
croiX,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9710526,33,19,0,0
croiX,INFINITE,18,EXCESSIVE COMPLETE,AAA,9765987,13,6,0,0
Gott,NOVICE,6,COMPLETE,AA+,9501133,3,3,0,0
Gott,ADVANCED,11,COMPLETE,A+,9089790,1,1,0,0
Gott,EXHAUST,16,EXCESSIVE COMPLETE,S,9912770,20,11,0,0
Gott,INFINITE,17,EXCESSIVE COMPLETE,AAA+,9864864,14,10,0,0
Dynasty,ADVANCED,12,COMPLETE,A+,9114411,1,1,0,0
Dynasty,EXHAUST,16,EXCESSIVE COMPLETE,S,9917582,14,10,0,0
Dynasty,INFINITE,17,EXCESSIVE COMPLETE,AAA,9788203,11,7,0,0
PANIC HOLIC,ADVANCED,11,PLAYED,B,7871287,1,0,0,0
PANIC HOLIC,EXHAUST,16,EXCESSIVE COMPLETE,S,9968499,19,13,0,0
PANIC HOLIC,GRAVITY,18,EXCESSIVE COMPLETE,AAA+,9819544,17,8,0,0
Max Burning!!,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9845679,23,15,0,0
Max Burning!!,INFINITE,18,EXCESSIVE COMPLETE,AAA+,9830399,9,6,0,0
Absurd Gaff,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9839486,11,9,0,0
Absurd Gaff,GRAVITY,18,EXCESSIVE COMPLETE,AA+,9636143,3,3,0,0
EGG,EXHAUST,14,EXCESSIVE COMPLETE,S,9950641,6,1,0,0
EGG,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9826210,6,6,0,0
éclair au chocolat,EXHAUST,13,EXCESSIVE COMPLETE,S,9953234,8,2,0,0
éclair au chocolat,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9896848,4,4,0,0
大宇宙ステージ,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9780092,28,8,0,0
大宇宙ステージ,GRAVITY,19,COMPLETE,A+,9021669,30,1,0,0
TRIGGER★HAPPY,NOVICE,5,COMPLETE,AA,9442013,1,1,0,0
TRIGGER★HAPPY,ADVANCED,10,COMPLETE,A+,9253632,1,1,0,0
TRIGGER★HAPPY,EXHAUST,14,EXCESSIVE COMPLETE,S,9969458,8,3,0,0
TRIGGER★HAPPY,GRAVITY,16,EXCESSIVE COMPLETE,S,9916815,11,10,0,0
VISION,EXHAUST,13,ULTIMATE CHAIN,S,9941956,2,1,1,0
VISION,GRAVITY,16,EXCESSIVE COMPLETE,S,9923761,5,5,0,0
カミサマネジマキ,EXHAUST,15,ULTIMATE CHAIN,S,9903061,4,4,1,0
カミサマネジマキ,GRAVITY,17,ULTIMATE CHAIN,AAA+,9822592,4,3,1,0
チェックメイト,EXHAUST,12,COMPLETE,A+,9128491,1,1,0,0
地球最後の告白を,EXHAUST,12,COMPLETE,A+,9118556,2,2,0,0
ディストピア・ジパング,EXHAUST,13,ULTIMATE CHAIN,S,9984969,2,2,1,0
ノイジーラバーソウル,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9812343,2,2,0,0
V.I.P.,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9818304,13,8,0,0
V.I.P.,HEAVENLY,18,EXCESSIVE COMPLETE,AA+,9653312,5,5,0,0
エスケープ・フロム・ディストピア,EXHAUST,15,EXCESSIVE COMPLETE,S,9911894,3,3,0,0
腐れ外道とチョコレゐト,EXHAUST,14,ULTIMATE CHAIN,S,9942857,4,4,2,0
腐れ外道とチョコレゐト,HEAVENLY,18,EXCESSIVE COMPLETE,AAA,9743223,1,1,0,0
十面相,EXHAUST,13,COMPLETE,S,9959964,2,1,0,0
人生リセットボタン,EXHAUST,15,EXCESSIVE COMPLETE,S,9974704,4,2,0,0
ルートスフィア,EXHAUST,11,COMPLETE,S,9982352,3,1,0,0
Soundscape,EXHAUST,13,ULTIMATE CHAIN,S,9934325,4,2,1,0
AA BlackY mix,ADVANCED,12,PLAYED,A+,9168925,1,0,0,0
AA BlackY mix,EXHAUST,16,EXCESSIVE COMPLETE,S,9917808,9,5,0,0
AA BlackY mix,INFINITE,17,EXCESSIVE COMPLETE,AAA,9757194,6,6,0,0
Tomorrow Perfume (tpz Despair Remix),EXHAUST,13,EXCESSIVE COMPLETE,AAA+,9894050,4,2,0,0
Freeway Shuffle -More2 HAPPY Re-Mix-,EXHAUST,15,ULTIMATE CHAIN,S,9929635,4,4,1,0
Tomorrow Perfume (C-Show Remix),EXHAUST,16,ULTIMATE CHAIN,S,9947169,9,7,2,0
Blue Rain Dustboxxxx RMX,EXHAUST,14,EXCESSIVE COMPLETE,S,9981561,4,3,0,0
Ray,EXHAUST,12,COMPLETE,S,9952463,7,4,0,0
Ray,HEAVENLY,16,EXCESSIVE COMPLETE,S,9953216,3,3,0,0
rainbow flyer -gratitude remix-,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9859565,4,4,0,0
明星ロケット,EXHAUST,13,ULTIMATE CHAIN,S,9952561,4,3,2,0
幻想のサテライト,EXHAUST,16,EXCESSIVE COMPLETE,S,9933061,6,4,0,0
幻想のサテライト,HEAVENLY,18,EXCESSIVE COMPLETE,AAA+,9822057,4,3,0,0
月に叢雲華に風,EXHAUST,13,PLAYED,S,9970637,1,0,0,0
Grip & Break down !! - SDVX Edit. -,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9899224,3,2,0,0
taboo tears you up 2008,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9833860,3,3,0,0
チルノのパーフェクトさんすう教室,EXHAUST,13,ULTIMATE CHAIN,S,9908103,4,4,1,0
チルノのパーフェクトさんすう教室,INFINITE,16,EXCESSIVE COMPLETE,AA+,9689513,1,1,0,0
Bad Apple!! feat. nomico,EXHAUST,12,EXCESSIVE COMPLETE,S,9938650,2,1,0,0
Bad Apple!! feat. nomico,INFINITE,16,EXCESSIVE COMPLETE,S,9943622,3,3,0,0
再教育,ADVANCED,7,COMPLETE,AA,9469854,1,1,0,0
再教育,EXHAUST,9,ULTIMATE CHAIN,S,9952456,1,1,1,0
dreamin' feat.Ryu☆,EXHAUST,13,COMPLETE,S,9902267,3,1,0,0
ハートブレイク・ヘッドライン,EXHAUST,11,ULTIMATE CHAIN,S,9976076,1,1,1,0
イカサマライフゲイム,EXHAUST,14,EXCESSIVE COMPLETE,S,9928469,3,2,0,0
セツナトリップ,EXHAUST,15,ULTIMATE CHAIN,S,9902826,7,7,2,0
セツナトリップ,HEAVENLY,17,EXCESSIVE COMPLETE,AAA+,9866039,7,7,0,0
恋愛勇者,EXHAUST,12,COMPLETE,S,9979274,2,1,0,0
六兆年と一夜物語,EXHAUST,14,ULTIMATE CHAIN,S,9974541,5,4,1,0
六兆年と一夜物語,INFINITE,16,ULTIMATE CHAIN,AAA+,9874608,1,1,1,0
炉心融解,EXHAUST,11,ULTIMATE CHAIN,S,9988814,3,3,1,0
炉心融解,INFINITE,13,EXCESSIVE COMPLETE,AAA+,9896983,3,3,0,0
Ganymede kamome mix,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9698137,21,6,0,0
Ganymede kamome mix,INFINITE,19,COMPLETE,AA+,9699838,16,12,0,0
GAMBOL (dfk SLC rmx),EXHAUST,13,COMPLETE,AA,9414298,1,1,0,0
GAMBOL (dfk SLC rmx),INFINITE,16,EXCESSIVE COMPLETE,S,9917780,6,3,0,0
Clione Hommarju Remix,EXHAUST,12,COMPLETE,A+,9148550,1,1,0,0
SEED (DJ Noriken Remix),NOVICE,7,COMPLETE,A+,9088575,2,1,0,0
SEED (DJ Noriken Remix),EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9873540,2,2,0,0
Distorted Floor,EXHAUST,15,ULTIMATE CHAIN,S,9972844,4,3,1,0
Distorted Floor,INFINITE,17,EXCESSIVE COMPLETE,AAA+,9830595,3,3,0,0
Fire Strike,EXHAUST,13,PLAYED,S,9909465,2,0,0,0
Fire Strike,HEAVENLY,17,EXCESSIVE COMPLETE,AAA,9757343,4,4,0,0
freaky freak,EXHAUST,15,ULTIMATE CHAIN,AAA+,9854881,14,7,2,0
freaky freak,GRAVITY,17,EXCESSIVE COMPLETE,AAA,9727653,9,8,0,0
World Vertex,EXHAUST,14,EXCESSIVE COMPLETE,AAA,9769392,1,1,0,0
天ノ弱,EXHAUST,13,COMPLETE,S,9980000,5,1,0,0
天ノ弱,INFINITE,17,EXCESSIVE COMPLETE,AAA+,9875074,3,3,0,0
Ignited Night burst,EXHAUST,14,EXCESSIVE COMPLETE,AAA,9752520,3,3,0,0
Onigo,EXHAUST,16,EXCESSIVE COMPLETE,S,9932508,11,6,0,0
Onigo,HEAVENLY,18,EXCESSIVE COMPLETE,AAA,9720225,5,4,0,0
caramel ribbon,ADVANCED,9,COMPLETE,AA+,9557260,1,1,0,0
caramel ribbon,EXHAUST,13,EXCESSIVE COMPLETE,S,9938212,9,5,0,0
caramel ribbon,INFINITE,16,ULTIMATE CHAIN,S,9947331,9,9,1,0
君にエールを・・・！ （DJ UTO REMIX）,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9892915,3,1,0,0
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,ADVANCED,7,COMPLETE,A,8923796,1,1,0,0
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,EXHAUST,12,ULTIMATE CHAIN,S,9965380,4,3,1,0
サヨナラ・ヘヴン （かめりあ's NEKOMATAelectroRMX）,HEAVENLY,17,EXCESSIVE COMPLETE,AAA+,9826458,2,2,0,0
Space Diver Tama,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9821428,9,5,0,0
Space Diver Tama,HEAVENLY,17,EXCESSIVE COMPLETE,AAA+,9894996,8,6,0,0
SOUL EXPLOSION,EXHAUST,13,PLAYED,AAA+,9869383,3,0,0,0
.59 -BOOTH BOOST REMIX-,EXHAUST,13,ULTIMATE CHAIN,S,9966703,3,2,2,0
Nyan Cat,INFINITE,16,EXCESSIVE COMPLETE,AAA+,9892996,5,5,0,0
香港功夫大旋風,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9878131,14,11,0,0
香港功夫大旋風,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9846864,10,5,0,0
恋する☆宇宙戦争っ！！ あばばばみっくす,NOVICE,6,COMPLETE,AA+,9621896,1,1,0,0
恋する☆宇宙戦争っ！！ あばばばみっくす,ADVANCED,12,COMPLETE,A,8968957,2,2,0,0
恋する☆宇宙戦争っ！！ あばばばみっくす,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9878542,5,4,0,0
恋する☆宇宙戦争っ！！ あばばばみっくす,INFINITE,15,EXCESSIVE COMPLETE,S,9948979,8,6,0,0
突撃!ガラスのニーソ姫! D.watt nu-denpa RMX,EXHAUST,15,EXCESSIVE COMPLETE,S,9945312,6,4,0,0
カーニバル,EXHAUST,14,COMPLETE,AA,9402536,1,1,0,0
キミノメヲ,ADVANCED,9,COMPLETE,A+,9076433,1,1,0,0
キミノメヲ,EXHAUST,12,COMPLETE,B,8670000,1,1,0,0
春色ポートレート,EXHAUST,7,ULTIMATE CHAIN,AAA+,9843444,2,2,1,0
RPGシンドローム,EXHAUST,13,COMPLETE,A+,9032000,1,1,0,0
cloud,EXHAUST,12,PLAYED,S,9947058,1,0,0,0
cloud,HEAVENLY,17,EXCESSIVE COMPLETE,AAA+,9854368,4,4,0,0
世界はネコのもの,EXHAUST,12,EXCESSIVE COMPLETE,S,9924369,1,1,0,0
TYCOON,EXHAUST,15,EXCESSIVE COMPLETE,S,9955116,10,4,0,0
TYCOON,INFINITE,17,EXCESSIVE COMPLETE,S,9946409,9,8,0,0
neu BSP style,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9784560,12,8,0,0
wound,EXHAUST,11,ULTIMATE CHAIN,AA+,9650112,1,1,1,0
不思議玩具ガンガラディンドン,EXHAUST,14,COMPLETE,A,8873786,1,1,0,0
FLOWER REDALiCE Remix,NOVICE,6,COMPLETE,A+,9206273,4,3,0,0
FLOWER REDALiCE Remix,ADVANCED,11,COMPLETE,AA+,9549839,2,2,0,0
FLOWER REDALiCE Remix,EXHAUST,16,EXCESSIVE COMPLETE,S,9905425,25,11,0,0
FLOWER REDALiCE Remix,INFINITE,18,EXCESSIVE COMPLETE,AA+,9684326,17,9,0,0
ヤサイマシ☆ニンニクアブラオオメ,ADVANCED,8,COMPLETE,AA,9316129,2,2,0,0
ヤサイマシ☆ニンニクアブラオオメ,EXHAUST,13,EXCESSIVE COMPLETE,AAA+,9815119,6,5,0,0
ヤサイマシ☆ニンニクアブラオオメ,INFINITE,16,EXCESSIVE COMPLETE,S,9925017,17,13,0,0
U&M,EXHAUST,8,COMPLETE,S,9928057,3,2,0,0
Second Heaven Lamaze-REMIX,EXHAUST,13,COMPLETE,A+,9260595,1,1,0,0
Xepher Light and Darkness Dragon REMIX,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9866723,17,14,0,0
Xepher Light and Darkness Dragon REMIX,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9723414,19,3,0,0
Diamond Dust Black Diamond Dust,EXHAUST,12,COMPLETE,A,8912815,1,1,0,0
冥 Rockin' SWING REMIX,EXHAUST,16,EXCESSIVE COMPLETE,S,9919086,20,14,0,0
冥 Rockin' SWING REMIX,INFINITE,18,EXCESSIVE COMPLETE,AAA+,9806480,9,5,0,0
RED ZONE NeoClassical Party Remix,EXHAUST,14,EXCESSIVE COMPLETE,S,9906143,3,3,0,0
ALBIDA Powerless Mix,NOVICE,5,COMPLETE,AA+,9512578,1,1,0,0
ALBIDA Powerless Mix,EXHAUST,13,ULTIMATE CHAIN,S,9951314,5,3,1,0
ALBIDA Powerless Mix,INFINITE,17,EXCESSIVE COMPLETE,AAA+,9840720,2,2,0,0
Iterator,ADVANCED,8,PLAYED,A,8856060,1,0,0,0
Evans VolteX Pf arrange,EXHAUST,15,EXCESSIVE COMPLETE,S,9917635,7,4,0,0
Evans VolteX Pf arrange,HEAVENLY,18,EXCESSIVE COMPLETE,AA+,9694148,1,1,0,0
good high school,EXHAUST,8,PERFECT,S,10000000,4,4,0,1
good high school,INFINITE,17,EXCESSIVE COMPLETE,AAA+,9840745,12,7,0,0
「月風魔伝」龍骨鬼戦 yks Remix,EXHAUST,13,COMPLETE,AA,9458293,1,1,0,0
「月風魔伝」龍骨鬼戦 yks Remix,INFINITE,16,EXCESSIVE COMPLETE,S,9939189,7,5,0,0
ごりらがいるんだ,EXHAUST,12,ULTIMATE CHAIN,S,9938524,2,2,1,0
ごりらがいるんだ ～かぼちゃが歌ってみたver～,INFINITE,15,EXCESSIVE COMPLETE,AAA+,9892116,3,3,0,0
jet coaster☆girl sasakure.UK tRiCkStAr Remix,EXHAUST,9,EXCESSIVE COMPLETE,AAA,9771101,2,1,0,0
dilemma,EXHAUST,10,EXCESSIVE COMPLETE,AAA,9766619,1,1,0,0
smooooch・∀・ KN mix,ADVANCED,8,COMPLETE,AA+,9566787,3,2,0,0
smooooch・∀・ KN mix,EXHAUST,13,EXCESSIVE COMPLETE,AAA+,9821673,2,2,0,0
ナナイロ,EXHAUST,10,ULTIMATE CHAIN,S,9953789,2,2,1,0
西日暮里の踊り,EXHAUST,12,COMPLETE,A+,9013539,1,1,0,0
西日暮里の踊り,INFINITE,16,ULTIMATE CHAIN,S,9996688,3,3,1,0
Ha･lle･lu･jah,EXHAUST,13,ULTIMATE CHAIN,S,9964322,3,2,1,0
Ha･lle･lu･jah,INFINITE,15,EXCESSIVE COMPLETE,AAA+,9847027,2,2,0,0
バタフライキャット,EXHAUST,13,EXCESSIVE COMPLETE,S,9919583,1,1,0,0
バタフライキャット,INFINITE,15,EXCESSIVE COMPLETE,S,9909977,4,4,0,0
PULSE LASER,EXHAUST,12,COMPLETE,A+,9167512,3,1,0,0
PULSE LASER,INFINITE,16,EXCESSIVE COMPLETE,S,9960658,9,9,0,0
Broken 8cmix,EXHAUST,14,EXCESSIVE COMPLETE,S,9925303,4,3,0,0
Broken 8cmix,HEAVENLY,18,EXCESSIVE COMPLETE,AA+,9639507,18,3,0,0
Rebellious stage,EXHAUST,10,EXCESSIVE COMPLETE,AAA+,9845637,1,1,0,0
凛として咲く花の如く スプーキィテルミィンミックス,ADVANCED,6,COMPLETE,AA+,9536928,1,1,0,0
凛として咲く花の如く スプーキィテルミィンミックス,EXHAUST,11,ULTIMATE CHAIN,S,9966611,4,4,1,0
凛として咲く花の如く スプーキィテルミィンミックス,INFINITE,15,EXCESSIVE COMPLETE,AAA+,9869534,2,2,0,0
